sequence_id,rep_id,rep_json_path,member_json_path
,1a04_A,3k/1a04_A.json,
,1a38_P,3k/1a38_P.json,
,1a6q_A,3k/1a6q_A.json,
,1a7m_A,3k/1a7m_A.json,
,1a92_A,3k/1a92_A.json,
,1abz_A,3k/1abz_A.json,
,1ajy_A,3k/1ajy_A.json,
,1all_A,3k/1all_A.json,
,1aor_A,3k/1aor_A.json,
,1aox_A,3k/1aox_A.json,
,1apy_B,3k/1apy_B.json,
,1aro_L,3k/1aro_L.json,
,1b35_D,3k/1b35_D.json,
,1b8t_A,3k/1b8t_A.json,
,1bdb_A,3k/1bdb_A.json,
,1bkt_A,3k/1bkt_A.json,
,1ble_A,3k/1ble_A.json,
,1bmb_I,3k/1bmb_I.json,
,1bnb_A,3k/1bnb_A.json,
,1buo_A,3k/1buo_A.json,
,1bvu_A,3k/1bvu_A.json,
,1bw5_A,3k/1bw5_A.json,
,1bxk_B,3k/1bxk_B.json,
,1cb3_A,3k/1cb3_A.json,
,1ccz_A,3k/1ccz_A.json,
,1cf8_H,3k/1cf8_H.json,
,1ck1_A,3k/1ck1_A.json,
,1cq0_A,3k/1cq0_A.json,
,1cvr_A,3k/1cvr_A.json,
,1cx1_A,3k/1cx1_A.json,
,1cyg_A,3k/1cyg_A.json,
,1d7q_B,3k/1d7q_B.json,
,1ddt_A,3k/1ddt_A.json,
,1ds0_A,3k/1ds0_A.json,
,1dt7_X,3k/1dt7_X.json,
,1eeo_B,3k/1eeo_B.json,
,1egr_A,3k/1egr_A.json,
,1ejh_F,3k/1ejh_F.json,
,1elk_A,3k/1elk_A.json,
,1epa_B,3k/1epa_B.json,
,1eq7_A,3k/1eq7_A.json,
,1f2g_A,3k/1f2g_A.json,
,1f3r_B,3k/1f3r_B.json,
,1f6o_A,3k/1f6o_A.json,
,1faa_A,3k/1faa_A.json,
,1fp0_A,3k/1fp0_A.json,
,1fsk_B,3k/1fsk_B.json,
,1fux_A,3k/1fux_A.json,
,1fxk_B,3k/1fxk_B.json,
,1fym_B,3k/1fym_B.json,
,1g9p_A,3k/1g9p_A.json,
,1gb4_A,3k/1gb4_A.json,
,1gbc_P,3k/1gbc_P.json,
,1gcv_B,3k/1gcv_B.json,
,1gd7_A,3k/1gd7_A.json,
,1get_B,3k/1get_B.json,
,1gg3_A,3k/1gg3_A.json,
,1ghq_C,3k/1ghq_C.json,
,1gsl_A,3k/1gsl_A.json,
,1gvn_A,3k/1gvn_A.json,
,1h30_A,3k/1h30_A.json,
,1h5p_A,3k/1h5p_A.json,
,1h6e_A,3k/1h6e_A.json,
,1h8p_A,3k/1h8p_A.json,
,1hf2_B,3k/1hf2_B.json,
,1hh9_C,3k/1hh9_C.json,
,1hlm_A,3k/1hlm_A.json,
,1hqi_A,3k/1hqi_A.json,
,1hr1_A,3k/1hr1_A.json,
,1htr_B,3k/1htr_B.json,
,1hwn_A,3k/1hwn_A.json,
,1hy9_A,3k/1hy9_A.json,
,1hyg_A,3k/1hyg_A.json,
,1hyh_A,3k/1hyh_A.json,
,1hyk_A,3k/1hyk_A.json,
,1hzf_A,3k/1hzf_A.json,
,1hzm_A,3k/1hzm_A.json,
,1i26_A,3k/1i26_A.json,
,1i94_P,3k/1i94_P.json,
,1ifp_A,3k/1ifp_A.json,
,1ig8_A,3k/1ig8_A.json,
,1ikp_A,3k/1ikp_A.json,
,1imt_A,3k/1imt_A.json,
,1imu_A,3k/1imu_A.json,
,1in5_A,3k/1in5_A.json,
,1ini_A,3k/1ini_A.json,
,1ioo_A,3k/1ioo_A.json,
,1j0c_A,3k/1j0c_A.json,
,1j0n_A,3k/1j0n_A.json,
,1j57_A,3k/1j57_A.json,
,1j7q_A,3k/1j7q_A.json,
,1jbu_X,3k/1jbu_X.json,
,1jek_B,3k/1jek_B.json,
,1jhf_A,3k/1jhf_A.json,
,1jky_A,3k/1jky_A.json,
,1jkz_A,3k/1jkz_A.json,
,1ju5_B,3k/1ju5_B.json,
,1juq_E,3k/1juq_E.json,
,1jvq_C,3k/1jvq_C.json,
,1jw2_A,3k/1jw2_A.json,
,1jzb_A,3k/1jzb_A.json,
,1k64_A,3k/1k64_A.json,
,1k8r_B,3k/1k8r_B.json,
,1ka8_A,3k/1ka8_A.json,
,1kcc_A,3k/1kcc_A.json,
,1kfz_A,3k/1kfz_A.json,
,1ki1_B,3k/1ki1_B.json,
,1kjv_P,3k/1kjv_P.json,
,1kon_A,3k/1kon_A.json,
,1kqs_B,3k/1kqs_B.json,
,1kqs_J,3k/1kqs_J.json,
,1l3q_A,3k/1l3q_A.json,
,1l6h_A,3k/1l6h_A.json,
,1l6n_A,3k/1l6n_A.json,
