sequence_id,rep_id,rep_json_path,member_json_path
,AF-F5RB40-F1,1k/AF-F5RB40-F1.json,
,AF-F5RAZ7-F1,1k/AF-F5RAZ7-F1.json,
,AF-F5RAT2-F1,1k/AF-F5RAT2-F1.json,
,AF-F5RAZ9-F1,1k/AF-F5RAZ9-F1.json,
,AF-F5RB75-F1,1k/AF-F5RB75-F1.json,
,AF-F5RAQ8-F1,1k/AF-F5RAQ8-F1.json,
,AF-F5RAX2-F1,1k/AF-F5RAX2-F1.json,
,AF-F5RAX0-F1,1k/AF-F5RAX0-F1.json,
,AF-F5RAZ5-F1,1k/AF-F5RAZ5-F1.json,
,AF-F5RAL1-F1,1k/AF-F5RAL1-F1.json,
,AF-F5RAM2-F1,1k/AF-F5RAM2-F1.json,
,AF-F5RAN6-F1,1k/AF-F5RAN6-F1.json,
,AF-F5RAI5-F1,1k/AF-F5RAI5-F1.json,
,AF-F5RAP9-F1,1k/AF-F5RAP9-F1.json,
,AF-F5RAQ5-F1,1k/AF-F5RAQ5-F1.json,
,AF-F5RAE6-F1,1k/AF-F5RAE6-F1.json,
,AF-F5RAI9-F1,1k/AF-F5RAI9-F1.json,
,AF-F5RAH8-F1,1k/AF-F5RAH8-F1.json,
,AF-F5RAM1-F1,1k/AF-F5RAM1-F1.json,
,AF-F5RAJ6-F1,1k/AF-F5RAJ6-F1.json,
,AF-F5RAA3-F1,1k/AF-F5RAA3-F1.json,
,AF-F5RAJ3-F1,1k/AF-F5RAJ3-F1.json,
,AF-F5RAB2-F1,1k/AF-F5RAB2-F1.json,
,AF-F5RAK0-F1,1k/AF-F5RAK0-F1.json,
,AF-F5RA24-F1,1k/AF-F5RA24-F1.json,
,AF-F5RA12-F1,1k/AF-F5RA12-F1.json,
,AF-F5RA14-F1,1k/AF-F5RA14-F1.json,
,AF-F5RA11-F1,1k/AF-F5RA11-F1.json,
,AF-F5RA53-F1,1k/AF-F5RA53-F1.json,
,AF-F5RA10-F1,1k/AF-F5RA10-F1.json,
,AF-F5RA03-F1,1k/AF-F5RA03-F1.json,
,AF-F5RA75-F1,1k/AF-F5RA75-F1.json,
,AF-F5RA01-F1,1k/AF-F5RA01-F1.json,
,AF-F5R9S4-F1,1k/AF-F5R9S4-F1.json,
,AF-F5R9Z2-F1,1k/AF-F5R9Z2-F1.json,
,AF-F5R9Q4-F1,1k/AF-F5R9Q4-F1.json,
,AF-F5R9N1-F1,1k/AF-F5R9N1-F1.json,
,AF-F5R9E1-F1,1k/AF-F5R9E1-F1.json,
,AF-F5R9L7-F1,1k/AF-F5R9L7-F1.json,
,AF-F5R9Z8-F1,1k/AF-F5R9Z8-F1.json,
,AF-F5R9B9-F1,1k/AF-F5R9B9-F1.json,
,AF-F5R9L8-F1,1k/AF-F5R9L8-F1.json,
,AF-F5R9J0-F1,1k/AF-F5R9J0-F1.json,
,AF-F5R9H2-F1,1k/AF-F5R9H2-F1.json,
,AF-F5R9K9-F1,1k/AF-F5R9K9-F1.json,
,AF-F5R9B5-F1,1k/AF-F5R9B5-F1.json,
,AF-F5R9G4-F1,1k/AF-F5R9G4-F1.json,
,AF-F5R8T6-F1,1k/AF-F5R8T6-F1.json,
,AF-F5R960-F1,1k/AF-F5R960-F1.json,
,AF-F5R8N9-F1,1k/AF-F5R8N9-F1.json,
,AF-F5R8T4-F1,1k/AF-F5R8T4-F1.json,
,AF-F5R933-F1,1k/AF-F5R933-F1.json,
,AF-F5R8W6-F1,1k/AF-F5R8W6-F1.json,
,AF-F5R8N2-F1,1k/AF-F5R8N2-F1.json,
,AF-F5R924-F1,1k/AF-F5R924-F1.json,
,AF-F5R8E1-F1,1k/AF-F5R8E1-F1.json,
,AF-F5R8J4-F1,1k/AF-F5R8J4-F1.json,
,AF-F5R8J9-F1,1k/AF-F5R8J9-F1.json,
,AF-F5R8F1-F1,1k/AF-F5R8F1-F1.json,
,AF-F5R8J3-F1,1k/AF-F5R8J3-F1.json,
,AF-F5R8J1-F1,1k/AF-F5R8J1-F1.json,
,AF-F5R8A4-F1,1k/AF-F5R8A4-F1.json,
,AF-F5R8A9-F1,1k/AF-F5R8A9-F1.json,
,AF-F5R8A5-F1,1k/AF-F5R8A5-F1.json,
,AF-F5R8A3-F1,1k/AF-F5R8A3-F1.json,
,AF-F5R8D4-F1,1k/AF-F5R8D4-F1.json,
,AF-F5R8A8-F1,1k/AF-F5R8A8-F1.json,
,AF-F5R896-F1,1k/AF-F5R896-F1.json,
,AF-F5R8A0-F1,1k/AF-F5R8A0-F1.json,
,AF-F5R8A6-F1,1k/AF-F5R8A6-F1.json,
,AF-F5R894-F1,1k/AF-F5R894-F1.json,
,AF-F5R893-F1,1k/AF-F5R893-F1.json,
,AF-F5R890-F1,1k/AF-F5R890-F1.json,
,AF-F5R898-F1,1k/AF-F5R898-F1.json,
,AF-F5R899-F1,1k/AF-F5R899-F1.json,
,AF-F5R892-F1,1k/AF-F5R892-F1.json,
,AF-F5R883-F1,1k/AF-F5R883-F1.json,
,AF-F5R887-F1,1k/AF-F5R887-F1.json,
,AF-F5R889-F1,1k/AF-F5R889-F1.json,
,AF-F5R842-F1,1k/AF-F5R842-F1.json,
,AF-F5R886-F1,1k/AF-F5R886-F1.json,
,AF-F5R881-F1,1k/AF-F5R881-F1.json,
,AF-F5R878-F1,1k/AF-F5R878-F1.json,
,AF-F5R7T9-F1,1k/AF-F5R7T9-F1.json,
,AF-F5R879-F1,1k/AF-F5R879-F1.json,
,AF-F5R7X2-F1,1k/AF-F5R7X2-F1.json,
,AF-F5R875-F1,1k/AF-F5R875-F1.json,
,AF-F5R7Z3-F1,1k/AF-F5R7Z3-F1.json,
,AF-F5R7Z7-F1,1k/AF-F5R7Z7-F1.json,
,AF-F5R843-F1,1k/AF-F5R843-F1.json,
,AF-F5R7N5-F1,1k/AF-F5R7N5-F1.json,
,AF-F5R7V4-F1,1k/AF-F5R7V4-F1.json,
,AF-F5R7M6-F1,1k/AF-F5R7M6-F1.json,
,AF-F5R7P3-F1,1k/AF-F5R7P3-F1.json,
,AF-F5R7G8-F1,1k/AF-F5R7G8-F1.json,
,AF-F5R7I0-F1,1k/AF-F5R7I0-F1.json,
,AF-F5R7Q3-F1,1k/AF-F5R7Q3-F1.json,
,AF-F5R7K0-F1,1k/AF-F5R7K0-F1.json,
,AF-F5R7E1-F1,1k/AF-F5R7E1-F1.json,
,AF-F5R7E4-F1,1k/AF-F5R7E4-F1.json,
,AF-F5R7D9-F1,1k/AF-F5R7D9-F1.json,
,AF-F5R7C1-F1,1k/AF-F5R7C1-F1.json,
,AF-F5R7C4-F1,1k/AF-F5R7C4-F1.json,
,AF-F4X814-F1,1k/AF-F4X814-F1.json,
,AF-F5R7C0-F1,1k/AF-F5R7C0-F1.json,
,AF-F5R772-F1,1k/AF-F5R772-F1.json,
,AF-F5R7E2-F1,1k/AF-F5R7E2-F1.json,
,AF-F4X847-F1,1k/AF-F4X847-F1.json,
,AF-F4X7Y5-F1,1k/AF-F4X7Y5-F1.json,
,AF-F4X8B6-F1,1k/AF-F4X8B6-F1.json,
,AF-F5R791-F1,1k/AF-F5R791-F1.json,
